index,gene_ids,n_cells,highly_variable,means,dispersions,dispersions_norm
KIAA0040,ENSG00000235750,167,True,0.3051006,2.8586087,0.84248143
QSOX1,ENSG00000116260,97,True,0.18427093,3.4570577,3.3724232
DHX9,ENSG00000135829,179,True,0.30982652,3.5410063,1.7170264
NCF2,ENSG00000116701,468,True,0.77870256,3.076007,1.0564547
COLGALT2,ENSG00000198756,6,True,0.015285064,2.1277301,0.74770296
RGS18,ENSG00000150681,89,True,0.20673347,2.9235892,2.3191047
ZBTB41,ENSG00000177888,12,True,0.024673702,2.026682,0.54818606
CSRP1,ENSG00000159176,188,True,0.31289843,4.228117,2.5976112
IPO9-AS1,ENSG00000231871,6,True,0.01266415,2.1516461,0.79492444
PTPN7,ENSG00000143851,252,True,0.4798814,3.9343803,2.2211652
RABIF,ENSG00000183155,156,True,0.2438983,2.40099,1.287247
SOX13,ENSG00000143842,3,True,0.013531557,3.0705473,2.6092694
IL24,ENSG00000162892,13,True,0.03633342,3.2653291,2.9938605
CR1,ENSG00000203710,45,True,0.115213715,3.939764,4.3255134
RP1-28O10.1,ENSG00000227591,7,True,0.050637852,4.5415363,5.513696
G0S2,ENSG00000123689,185,True,0.5002017,3.1527185,1.2194058
TRAF3IP3,ENSG00000009790,1296,True,1.5049509,2.8674774,0.62381226
LPGAT1,ENSG00000123684,77,True,0.13149132,2.0770838,0.64770323
DUSP10,ENSG00000143507,60,True,0.123354875,3.0766327,2.6212847
RP11-378J18.3,ENSG00000225265,5,True,0.043678842,4.443042,5.3192215
DISP1,ENSG00000154309,10,True,0.019576121,2.0856345,0.66458625
TP53BP2,ENSG00000143514,34,True,0.065233976,2.0168915,0.52885514
CNIH4,ENSG00000143771,218,True,0.35826635,3.43253,1.5780054
LBR,ENSG00000143815,260,True,0.42525142,3.5965145,1.7881643
SRP9,ENSG00000143742,890,True,1.0912243,3.5530632,1.7418226
ACBD3,ENSG00000182827,58,True,0.12914675,3.5061722,3.4693983
PARP1,ENSG00000143799,311,True,0.54891133,4.022686,2.3343358
SNAP47,ENSG00000143740,103,True,0.21800032,4.1492357,4.7391095
C1orf35,ENSG00000143793,178,True,0.3095358,3.728652,1.9575086
OBSCN,ENSG00000154358,21,True,0.045124017,2.5967383,1.6737466
RNF187,ENSG00000168159,384,True,0.57155216,3.1876493,1.214538
URB2,ENSG00000135763,13,True,0.028552083,2.5876622,1.6558261
C1orf198,ENSG00000119280,8,True,0.017741352,2.124105,0.7405452
GNPAT,ENSG00000116906,167,True,0.28481779,3.1093025,1.1637648
SPRTN,ENSG00000010072,98,True,0.1794646,2.8618963,2.1972935
RP5-827C21.4,ENSG00000231663,69,True,0.13700864,2.7857485,2.0469418
COA6,ENSG00000168275,234,True,0.36055997,2.598654,0.5093296
RP4-781K5.2,ENSG00000228830,4,True,0.014642048,2.5309699,1.5438886
FH,ENSG00000091483,150,True,0.2575449,3.0276995,2.5246673
SDCCAG8,ENSG00000054282,157,True,0.2645483,2.7344947,1.9457427
ACP1,ENSG00000143727,634,True,0.86187243,3.235579,1.2469817
TMEM18,ENSG00000151353,181,True,0.30428377,2.7941432,0.759864
TSSC1,ENSG00000032389,154,True,0.2646194,3.0253644,2.5200567
TRAPPC12-AS1,ENSG00000225234,12,True,0.025670806,2.0923803,0.6779057
ID2,ENSG00000115738,1040,True,1.4899505,2.8702662,0.62901413
KLF11,ENSG00000172059,63,True,0.11076489,2.9055514,2.2834895
ODC1,ENSG00000115758,275,True,0.5127207,3.4734933,1.6305032
LPIN1,ENSG00000134324,160,True,0.3077498,3.6653652,1.8764018
DDX1,ENSG00000079785,167,True,0.2981159,3.5369928,1.7118826
RDH14,ENSG00000240857,222,True,0.3760886,3.3184075,1.4317489
ITSN2,ENSG00000198399,264,True,0.4549609,3.3892121,1.5224904
DNAJC27,ENSG00000115137,5,True,0.0132841505,2.251887,0.9928474
DNMT3A,ENSG00000119772,60,True,0.11351443,2.671567,1.8214936
ASXL2,ENSG00000143970,72,True,0.13256912,3.065516,2.599335
KIF3C,ENSG00000084731,7,True,0.056684818,4.7618365,5.948673
MPV17,ENSG00000115204,169,True,0.27182716,3.0923858,2.6523886
SNX17,ENSG00000115234,590,True,0.79004204,2.860014,0.750613
FOSL2,ENSG00000075426,89,True,0.14423893,2.2658353,1.0203878
DPY30,ENSG00000162961,408,True,0.56708163,2.772415,0.62657446
FAM98A,ENSG00000119812,35,True,0.12616746,4.9038377,6.22905
CDC42EP3,ENSG00000163171,335,True,0.5275571,3.3652675,1.4918035
LINC00211,ENSG00000237803,7,True,0.014793555,2.0088835,0.5130436
PIGF,ENSG00000151665,104,True,0.18270342,3.3303168,3.122177
FBXO11,ENSG00000138081,65,True,0.11311603,2.0129073,0.5209884
EML6,ENSG00000214595,8,True,0.0235024,2.6380389,1.7552934
MTIF2,ENSG00000085760,68,True,0.22432084,5.3741302,7.1576295
CCT4,ENSG00000115484,564,True,0.7312915,2.7289386,0.5650128
PELI1,ENSG00000197329,117,True,0.19071144,2.079454,0.65238297
LGALSL,ENSG00000119862,6,True,0.018016236,2.5691679,1.6193094
CEP68,ENSG00000011523,77,True,0.18247831,4.2767987,4.990979
ACTR2,ENSG00000138071,520,True,0.67797506,2.7691913,0.6220098
NFU1,ENSG00000169599,218,True,0.3722322,3.7004714,1.921393
SNRNP27,ENSG00000124380,158,True,0.26001894,2.6588414,1.7963673
MPHOSPH10,ENSG00000124383,218,True,0.38232416,3.4551973,1.6070555
CCT7,ENSG00000135624,521,True,0.74274415,3.3130794,1.3921446
STAMBP,ENSG00000124356,112,True,0.24314298,3.6529503,3.7592077
BOLA3,ENSG00000163170,155,True,0.285097,3.9515762,2.2432032
PCGF1,ENSG00000115289,94,True,0.14731307,2.305468,1.0986416
MRPL19,ENSG00000115364,210,True,0.34388742,3.5243728,1.6957092
TRABD2A,ENSG00000186854,257,True,0.40389436,3.032874,1.0658159
TGOLN2,ENSG00000152291,432,True,0.60609007,2.8245647,0.70041746
MAT2A,ENSG00000168906,171,True,0.25729948,2.280808,1.049951
VAMP8,ENSG00000118640,1362,True,1.5486372,3.1130557,1.0818833
VAMP5,ENSG00000168899,603,True,0.86047024,3.2454782,1.2624108
GNLY,ENSG00000115523,484,True,2.2069921,4.975916,3.9396966
RMND5A,ENSG00000153561,80,True,0.13784881,3.0987082,2.664872
MAL,ENSG00000172005,355,True,0.6064515,3.3057246,1.3817304
ZAP70,ENSG00000115085,383,True,0.59939194,2.8479123,0.73347723
EIF5B,ENSG00000158417,394,True,0.55260503,3.065133,1.1071583
TGFBRAP1,ENSG00000135966,25,True,0.0728794,3.8563993,4.160912
TMEM87B,ENSG00000153214,44,True,0.123371094,4.3304152,5.0968432
IL1B,ENSG00000125538,211,True,0.47969565,2.8547006,0.83747286
RABL2A,ENSG00000144134,39,True,0.065021865,2.0208478,0.5366668
RP11-141B14.1,ENSG00000270019,5,True,0.04704863,4.546673,5.523838
C2orf76,ENSG00000186132,40,True,0.09931722,3.730262,3.9118576
TMEM177,ENSG00000144120,20,True,0.054073628,3.1365554,2.7396004
CCDC115,ENSG00000136710,434,True,0.65435916,3.324511,1.4083316
PLEKHB2,ENSG00000115762,159,True,0.23537609,2.0807943,0.65502954
ZRANB3,ENSG00000121988,16,True,0.03824084,2.9803011,2.4310806
R3HDM1,ENSG00000048991,74,True,0.15444182,3.7848208,4.0195823
UBXN4,ENSG00000144224,530,True,0.8192855,4.3671384,2.8846712
ACVR2A,ENSG00000121989,9,True,0.018679157,2.104876,0.7025782
MMADHC,ENSG00000168288,357,True,0.60551506,4.604117,3.2202282
PSMD14,ENSG00000115233,277,True,0.45956233,3.5405953,1.7164996
GCA,ENSG00000115271,350,True,0.5728739,2.7686791,0.62128466
FASTKD1,ENSG00000138399,27,True,0.045654364,2.225963,0.94166124
PPIG,ENSG00000138398,457,True,0.6845173,3.476336,1.6233127
METTL8,ENSG00000123600,56,True,0.10812964,2.4774356,1.4381866
SLC25A12,ENSG00000115840,37,True,0.10636313,4.3585234,5.152342
MLTK,ENSG00000091436,42,True,0.06884541,2.3285317,1.1441802
OLA1,ENSG00000138430,370,True,0.5076553,2.618091,0.5342397
NFE2L2,ENSG00000116044,185,True,0.4518666,5.8290687,4.6493535
TTC30A,ENSG00000197557,6,True,0.01388367,2.4139438,1.3128238
PLEKHA3,ENSG00000116095,132,True,0.23969577,3.2069206,2.8785346
TTN-AS1,ENSG00000237298,30,True,0.10512812,4.76131,5.9476333
DNAJC10,ENSG00000077232,93,True,0.2075659,3.9549575,4.3555126
ZC3H15,ENSG00000065548,499,True,0.7363572,3.8787024,2.1930556
SLC40A1,ENSG00000138449,101,True,0.17586243,2.1946185,0.8797721
ANKAR,ENSG00000151687,22,True,0.044444196,2.2502112,0.9895385
C2orf88,ENSG00000187699,10,True,0.052589666,3.4490554,3.356623
NABP1,ENSG00000173559,115,True,0.18840963,2.6907296,1.8593298
SDPR,ENSG00000168497,43,True,0.38021615,4.5089684,2.9575438
SF3B1,ENSG00000115524,384,True,0.56766707,2.9427965,0.86783135
PLCL1,ENSG00000115896,8,True,0.017388254,2.2531068,0.99525577
TYW5,ENSG00000162971,39,True,0.07617465,2.7516232,1.9795624
ORC2,ENSG00000115942,48,True,0.1309542,4.2502766,4.9386115
NOP58,ENSG00000055044,270,True,0.48792017,4.0659847,2.3898263
BMPR2,ENSG00000204217,37,True,0.1059179,3.212768,2.8900802
ICOS,ENSG00000163600,91,True,0.1487179,2.3221347,1.1315495
NDUFS1,ENSG00000023228,84,True,0.15125003,3.4400532,3.3388484
METTL21A,ENSG00000144401,194,True,0.33359793,3.2524278,1.3471909
IDH1,ENSG00000138413,57,True,0.10068486,2.6063144,1.6926543
TNS1,ENSG00000079308,7,True,0.013254448,2.4089184,1.3029014
CXCR1,ENSG00000163464,7,True,0.016595973,2.169147,0.82947946
RNF25,ENSG00000163481,56,True,0.11816752,3.3255265,3.1127186
CYP27A1,ENSG00000135929,35,True,0.06965307,2.3688972,1.2238806
GMPPA,ENSG00000144591,97,True,0.28655884,5.5468774,4.287704
STK11IP,ENSG00000144589,41,True,0.06683895,2.205137,0.9005407
SERPINE2,ENSG00000135919,18,True,0.037255306,2.03021,0.55515224
DOCK10,ENSG00000135905,162,True,0.25207654,2.3787138,1.2432634
MFF,ENSG00000168958,350,True,0.55999,3.599212,1.7916212
TRIP12,ENSG00000153827,64,True,0.17580475,4.1122103,4.6660037
ATG16L1,ENSG00000085978,43,True,0.091075994,2.7193248,1.9157902
RAMP1,ENSG00000132329,43,True,0.0998183,2.1143947,0.7213725
NDUFA10,ENSG00000130414,396,True,0.56725234,2.8063242,0.6745894
GPR35,ENSG00000178623,33,True,0.056486018,2.6361308,1.751526
MTERFD2,ENSG00000122085,250,True,0.42858925,3.3757384,1.5052228
PASK,ENSG00000115687,173,True,0.34104523,3.7613726,1.9994426
HDLBP,ENSG00000115677,147,True,0.23555046,3.2885137,3.0396378
DTYMK,ENSG00000168393,177,True,0.2548194,2.0521336,0.59843963
ING5,ENSG00000168395,70,True,0.14079162,3.312387,3.0867748
PDCD1,ENSG00000188389,25,True,0.05556677,2.0581439,0.6103068
THUMPD3,ENSG00000134077,105,True,0.20447019,4.061205,4.565295
SETD5,ENSG00000168137,148,True,0.23739943,2.3820968,1.2499428
ARPC4,ENSG00000241553,847,True,1.0260724,2.956398,0.81184125
RPUSD3,ENSG00000156990,164,True,0.2681027,2.9988248,2.4676552
JAGN1,ENSG00000171135,351,True,0.51311386,2.6249397,0.5430167
ATG7,ENSG00000197548,46,True,0.07937409,2.4495468,1.383121
TMEM40,ENSG00000088726,14,True,0.08896391,3.3374796,3.1363196
SLC6A6,ENSG00000131389,80,True,0.13508442,2.1718626,0.8348413
CCDC174,ENSG00000154781,156,True,0.25100178,2.0909593,0.6751
UBE2E1,ENSG00000170142,320,True,0.47432867,3.2315965,1.3204938
TOP2B,ENSG00000077097,104,True,0.20345359,4.1694894,4.7790995
SLC4A7,ENSG00000033867,64,True,0.11902571,2.3701668,1.2263874
CMTM7,ENSG00000153551,542,True,0.740655,3.0338793,0.9968028
GLB1,ENSG00000170266,126,True,0.20606609,3.1198792,2.7066736
CRTAP,ENSG00000170275,206,True,0.3565288,3.7839906,2.0284293
CSRNP1,ENSG00000144655,279,True,0.41455743,2.796131,0.76241136
EIF1B,ENSG00000114784,513,True,0.71420896,2.7268965,0.5621213
ENTPD3-AS1,ENSG00000223797,51,True,0.134906,4.605094,5.639189
CTNNB1,ENSG00000168036,188,True,0.33728468,3.928937,2.214189
VIPR1,ENSG00000114812,45,True,0.09727112,3.7955904,4.0408463
NKTR,ENSG00000114857,358,True,0.5212327,2.7017894,0.6415055
ABHD5,ENSG00000011198,66,True,0.15282229,4.349901,5.135318
ELP6,ENSG00000163832,142,True,0.26795438,4.1973624,4.834134
NME6,ENSG00000172113,87,True,0.17865436,3.940017,4.3260126
TREX1,ENSG00000213689,328,True,0.4826534,3.0395937,1.0744276
UQCRC1,ENSG00000010256,499,True,0.6644752,3.1925166,1.2214301
ARIH2OS,ENSG00000221883,77,True,0.15079646,3.0281897,2.5256352
QRICH1,ENSG00000198218,104,True,0.17141664,2.6112998,1.7024977
USP19,ENSG00000172046,47,True,0.08622135,2.4074116,1.2999262
GPX1,ENSG00000233276,1136,True,1.8774796,3.6169891,1.6156536
TCTA,ENSG00000145022,84,True,0.14650403,2.6370652,1.7533708
IP6K1,ENSG00000176095,98,True,0.1718679,2.5144377,1.5112462
FAM212A,ENSG00000185614,24,True,0.05057697,2.1443658,0.7805496
RBM5,ENSG00000003756,176,True,0.3879464,5.0975175,3.7118146
GNAI2,ENSG00000114353,618,True,0.8305943,2.6884236,0.5076444
NPRL2,ENSG00000114388,146,True,0.31463817,4.354489,2.7595665
C3orf18,ENSG00000088543,10,True,0.021262774,2.0261924,0.54721963
HEMK1,ENSG00000114735,49,True,0.15946671,4.8216333,6.0667396
CISH,ENSG00000114737,207,True,0.36658344,2.9945536,1.0167052
GLYCTK,ENSG00000168237,47,True,0.09149012,3.2298808,2.9238687
PBRM1,ENSG00000163939,118,True,0.21469827,2.8625705,2.1986248
PRKCD,ENSG00000163932,146,True,0.23309427,2.7085068,1.8944304
CCDC66,ENSG00000180376,119,True,0.2668124,4.303927,5.044543
ARF4,ENSG00000168374,381,True,0.5375276,2.7364671,0.68594766
DENND6A,ENSG00000174839,39,True,0.07223654,2.2444792,0.9782207
DNASE1L3,ENSG00000163687,8,True,0.034178536,3.2518566,2.9672592
THOC7,ENSG00000163634,434,True,0.68502074,4.1286955,2.547041
SUCLG2,ENSG00000172340,352,True,0.49846208,3.085645,1.1334459
EOGT,ENSG00000163378,19,True,0.045467634,3.2040248,2.8728168
ARL6IP5,ENSG00000144746,1222,True,1.4521569,3.5698555,1.9339403
PROK2,ENSG00000163421,8,True,0.022377161,2.0855618,0.66444266
C3orf38,ENSG00000179021,131,True,0.22060063,2.1574526,0.80638915
MINA,ENSG00000170854,101,True,0.1615185,2.452153,1.3882668
TBC1D23,ENSG00000036054,55,True,0.112267844,2.8927307,2.2581754
NIT2,ENSG00000114021,190,True,0.35539618,3.7649431,2.0040185
BBX,ENSG00000114439,386,True,0.56555986,2.9794917,0.9197911
CD47,ENSG00000196776,669,True,0.88183725,3.4046257,1.5104632
CD96,ENSG00000153283,320,True,0.46986285,2.8423247,0.8216123
TIGIT,ENSG00000181847,189,True,0.43063065,3.632489,1.8342683
B4GALT4,ENSG00000121578,76,True,0.14995378,3.0327942,2.5347269
TIMMDC1,ENSG00000113845,254,True,0.40653455,3.6579323,1.8668759
FSTL1,ENSG00000163430,7,True,0.031042123,2.6044059,1.6888859
HGD,ENSG00000113924,7,True,0.034444142,2.9143827,2.3009264
GOLGB1,ENSG00000173230,57,True,0.10849414,2.121654,0.7357059
EAF2,ENSG00000145088,253,True,0.43207657,2.6634367,0.59235346
KPNA1,ENSG00000114030,111,True,0.21229479,3.7592573,3.9691079
PDIA5,ENSG00000065485,17,True,0.03363001,2.167082,0.82540226
GATA2,ENSG00000179348,4,True,0.012858308,2.3277423,1.1426215
